,GPT_35_t0_v0,GPT_35_t0_v1,GPT_35_t1_v0,GPT_35_t1_v1,GPT_35_t1_v2,GPT_35_t1_v3,GPT_35_t2_v0,GPT_4_t0_v0,GPT_4_t0_v1,GPT_4_t1_v0,GPT_4_t1_v1,GPT_4_t1_v2,GPT_4_t1_v3,GPT_4_t2_v0
CC1575A,0.4423076923,0,0.3333333333,0,0,0,0,0,1,1,1,1,1,1
CC1575H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1580B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1582A,1,1,1,1,1,1,-,1,1,1,1,1,1,-
CC1582F2,1,0,0,0,0,0,1,1,1,1,0,0,0,0
CC1586F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1600E,0,1,0,0,0,0,0,1,0,1,1,1,1,1
CC1618C,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CC1619B,0,0,0,0,0,0,0,1,1,1,0,0,0,1
CC1620C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HE11,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE111,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE124,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HE127,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HE156,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE160,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HE162,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE18,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE31,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE4,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE44,1,1,0.8453058321,0,1,0,-,1,1,1,1,1,1,-
HE48,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE51,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE55,1,1,1,1,1,1,-,1,1,1,1,1,1,-
HE6,1,1,1,1,0,1,-,1,1,1,1,1,1,-
HE89,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP103,0,0,1,0,0,0,-,1,1,1,1,1,1,-
MBPP12,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP129,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP160,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP163,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP311,1,0,0,0,0,0,1,0,0,1,0,1,0,1
MBPP390,1,1,0,1,0,1,-,1,1,1,1,1,1,-
MBPP392,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MBPP428,1,1,1,1,1,1,-,1,1,1,1,0,1,-
MBPP577,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP59,1,1,1,1,1,0,-,1,1,1,1,1,1,-
MBPP603,0,0,0,0,0,0,1,0,1,0,0,0,0,1
MBPP626,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP65,1,0,1,1,1,1,1,1,1,1,1,1,1,1
MBPP72,0,0,0,0,0,0,1,1,1,1,1,1,1,1
MBPP721,1,1,1,1,1,1,-,1,1,1,1,1,1,-
MBPP765,0,0,0,0,0,0,1,1,1,1,1,1,0,1
MBPP783,1,0,1,1,1,0,-,1,1,1,1,1,1,-
YTDL1,0,0,0,0,0,0,-,0,0,0,0,0,0,-
YTDL2,0,0,0,0,0,1,1,1,0,1,1,0,0,1
YTDL3,1,0.9945820433,1,1,1,1,-,1,1,1,1,1,1,-
YTDL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTDL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YTDL6,0,1,0,0,0,0,0,1,1,0,0,1,0,1
