Problem,GPT_35_t0_v0,GPT_35_t0_v0_i2,GPT_35_t0_v0_i3,GPT_35_t0_v0_i4,GPT_35_t0_v1,GPT_35_t0_v1_i2,GPT_35_t1_v0,GPT_35_t1_v0_i2,GPT_35_t1_v0_i3,GPT_35_t1_v0_i4,GPT_35_t1_v1,GPT_35_t1_v1_i2,GPT_35_t1_v2,GPT_35_t1_v2_i2,GPT_35_t1_v3,GPT_35_t1_v3_i2,GPT_35_t2_v0,GPT_4_t0_v0,GPT_4_t0_v1,GPT_4_t1_v0,GPT_4_t1_v1,GPT_4_t1_v2,GPT_4_t1_v3,GPT_4_t2_v0
HE124,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,1.0,1,1,1,1,1,1,1.0
MBPP65,1,-,-,-,0,-,1,-,-,-,1,-,1,-,1,-,1.0,1,1,1,1,1,1,1.0
MBPP577,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1582A,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1618C,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,1.0,1,1,1,1,1,1,1.0
MBPP721,1,1.0,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
HE4,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP12,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP626,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1600E,0,-,-,-,1,-,0,-,-,-,0,-,0,-,0,-,0.0,1,0,1,1,1,1,1.0
CC1586F,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,0,0,0,0,0,0,0.0
HE44,1,1.0,-,-,1,-,0,1.0,1.0,1.0,0,-,1,-,0,-,-,1,1,1,1,1,1,-
HE48,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
HE55,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1619B,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,1,1,1,0,0,0,1.0
MBPP160,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP72,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,1.0,1,1,1,1,1,1,1.0
HE162,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP603,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,1.0,0,1,0,0,0,0,1.0
YTDL3,1,-,-,-,1,1.0,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP59,1,-,-,-,1,-,1,-,-,-,1,-,1,-,0,-,-,1,1,1,1,1,1,-
HE6,1,-,-,-,1,-,1,-,-,-,1,-,0,-,1,-,-,1,1,1,1,1,1,-
HE160,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,1.0,1,1,1,1,1,1,1.0
CC1575H,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,0,0,0,0,0,0,0.0
YTDL5,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,0,0,0,0,0,0,0.0
YTDL6,0,0.0,-,-,1,-,0,-,-,-,0,-,0,-,0,-,0.0,1,1,0,0,1,0,1.0
HE156,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1575A,0,1.0,0.0,1.0,0,0.0,0,1.0,0.0,-,0,0.0,0,0.0,0,0.0,0.0,0,1,1,1,1,1,1.0
HE31,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
CC1582F2,1,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,1.0,1,1,1,0,0,0,0.0
MBPP390,1,-,-,-,1,-,0,0.0,-,-,1,-,0,-,1,-,-,1,1,1,1,1,1,-
MBPP129,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP103,0,-,-,-,0,-,1,-,-,-,0,-,0,-,0,-,-,1,1,1,1,1,1,-
CC1580B,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,0,0,0,0,0,0,0.0
HE18,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP163,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
HE11,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,1,1,-
MBPP311,1,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,1.0,0,0,1,0,1,0,1.0
MBPP428,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,-,-,1,1,1,1,0,1,-
MBPP783,1,-,-,-,0,-,1,-,-,-,1,-,1,-,0,-,-,1,1,1,1,1,1,-
YTDL4,0,-,-,-,0,-,0,-,-,-,0,-,0,-,0,-,0.0,0,0,0,0,0,0,0.0
